Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
may-19;22,195.29;6,650.62;103,315.20;171.98;59,987.32;1,011,872.87;0;623,466.22;0;596,798.22;568,128.41;489.43;0;2,658.48;0;485,520.18;0;6,263.91;82.01;0;0;0;0;3,487,600.14
jun-19;22,041.50;4,484.73;346,048.30;507.79;68,548.57;1,029,100.90;0;612,732.27;13,290.50;712,731.80;629,788.43;225.87;0;0;0;256,057.52;0;9,967.36;0;0;0;0;0;3,705,525.54
jul-19;20,059.59;19,590.13;13,652.90;202.29;63,368.64;1,056,569.11;0;667,486.78;0;531,577.64;516,273.85;117.68;0;3,134.83;0;0;0;9,079.17;75.79;0;0;0;0;2,901,188.41
ago-19;19,268.71;9,374.15;141,908.64;404.4;75,962.03;1,167,556.89;0;586,430.65;0;896,841.31;713,859.98;176.82;0;952.38;0;0;0;3,968.23;7.34;0;0;0;0;3,616,711.53
sep-19;17,011.47;5,473.85;108,983.70;557.9;58,060.40;717,490.02;7,551.05;850,778.21;0;518,043.68;491,194.71;348.21;0;166.67;340.1;212,326.74;0;8,867.90;79.33;0;0;0;0;2,997,273.94
oct-19;19,109.12;10,751.21;95,514.49;107.93;43,064.61;1,160,570.85;35,005.92;225,207.04;0;712,672.38;691,407.73;115.83;0;2,499.43;0;525,400.00;0;7,671.02;1.09;0;0;0;0;3,529,098.65
nov-19;16,108.61;6,971.48;84,414.64;427.5;56,475.66;1,122,990.69;0;610,868.12;2,070.48;791,039.02;658,706.42;320.44;0;2,579.15;0;0;0;13,551.90;149.09;0;0;0;0;3,366,673.20
dic-19;27,097.05;5,682.60;164,276.76;434.83;39,148.46;1,098,972.39;0;600,003.85;0;731,012.24;797,580.75;313.8;39,972.88;2,899.75;0;245,057.00;0;7,373.88;13.01;0;0;0;0;3,759,839.25
ene-20;19,015.04;4,205.43;8,484.76;596.33;64,745.40;999,181.20;34,013.75;715,600.32;0;629,414.90;573,220.63;721.04;0;1,647.63;0;0;0;9,005.37;148.95;0;0;0;0;3,060,000.75
feb-20;21,047.21;5,960.00;158,888.73;237.16;71,115.46;1,237,018.37;12,300.92;451,331.70;23,690.30;741,509.07;611,314.13;177.68;0;2,607.12;0;849,463.41;0;8,881.49;0;0;0;0;0;4,195,542.75
mar-20;22,930.96;3,351.04;262,105.89;920.12;116,115.40;1,367,335.14;1,991.32;643,278.89;0;735,491.29;809,640.18;590.64;0;1,267.79;0;249,651.49;0;10,977.78;0;0;0;0;0;4,225,647.93
abr-20;21,591.95;2,443.86;195,126.19;756.32;0;834,366.52;0;510,349.93;288.62;329,134.18;453,153.09;363.63;0;0;0;0;0;6,952.78;144.57;0;0;0;0;2,354,671.64
may-20;16,064.15;5,300.00;77,729.35;396.85;0;691,066.44;2,997.10;616,381.45;0;415,805.82;170,292.50;507.39;0;0;0;231,418.00;0;6,147.08;72.29;0;0;0;0;2,234,178.42
jun-20;15,086.16;5,451.00;126,935.72;280.4;18,372.88;1,066,148.05;48,945.91;467,664.76;0;683,322.72;415,672.19;364.94;0;0;259.99;241,228.00;0;9,716.36;0;0;0;0;0;3,099,449.08
jul-20;24,023.78;4,142.86;95,456.23;0;29,742.42;779,930.57;0;675,337.54;0;451,717.75;347,541.59;311.23;0;0;247.67;602,780.29;0;7,703.40;72.29;0;0;0;0;3,019,007.62
ago-20;18,020.13;3,118.87;60,562.44;524.4;46,730.75;791,258.19;7,998.76;634,320.07;0;547,899.55;414,416.34;393.75;0;0;1.14;0;0;4,201.86;72.29;0;0;0;0;2,529,518.54
sep-20;18,803.77;579.76;28,529.93;0;0;1,021,360.83;0;315,527.09;2,261.75;591,799.83;563,742.50;329.23;0;356.4;0;351,581.75;0;19,486.30;72.29;0;0;0;0;2,914,431.43
oct-20;25,940.04;4,594.86;170,477.00;519.98;22,389.55;891,340.69;0;960,840.53;0;861,840.54;733,692.01;369.36;0;0;0.38;0;0;6,118.08;72.86;0;0;0;0;3,678,195.88
nov-20;24,172.72;2,720.06;160,324.99;339;26,211.17;1,152,909.51;44,596.07;328,603.13;708.35;696,600.14;570,262.17;388.25;0;933.81;60;357,873.68;0;24,501.43;0;0;0;0;0;3,391,204.48
dic-20;24,292.17;4,862.74;105,609.42;287.36;36,051.00;1,050,560.83;0;684,160.08;176.69;780,347.28;777,450.55;668.76;0;1,116.47;7.67;281,577.99;0;10,024.51;144.57;0;0;0;0;3,757,338.09
